Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-10 20:20:03.757 +0530,"Success",0:00:26,0,0,0,"20170810_202003.757/LogFile.txt","","",1
2017-08-10 20:22:13.929 +0530,"Success",0:00:25,0,0,0,"20170810_202213.929/LogFile.txt","","",1
2017-08-10 20:33:16.632 +0530,"Running",0:00:00,0,0,0,"20170810_203316.632/LogFile.txt","","",0
2017-08-11 13:42:17.138 +0530,"Running",0:00:00,0,0,0,"20170811_134217.138/LogFile.txt","","",0
2017-08-11 13:42:58.826 +0530,"Running",0:00:00,0,0,0,"20170811_134258.826/LogFile.txt","","",0
2017-08-11 13:43:23.618 +0530,"Success",0:00:23,0,0,0,"20170811_134323.618/LogFile.txt","","",1
2017-10-06 15:01:07.290 +0530,"Running",0:00:00,0,0,0,"20171006_150107.290/LogFile.txt","","",0
2017-10-06 15:02:40.255 +0530,"Running",0:00:00,0,0,0,"20171006_150240.255/LogFile.txt","","",0
2017-10-06 15:03:41.665 +0530,"Running",0:00:00,0,0,0,"20171006_150341.665/LogFile.txt","","",0
2017-10-06 15:04:19.846 +0530,"Running",0:00:00,0,0,0,"20171006_150419.846/LogFile.txt","","",0
2017-10-06 15:08:14.048 +0530,"Running",0:00:00,0,0,0,"20171006_150814.048/LogFile.txt","","",0
2017-10-06 15:10:06.417 +0530,"Running",0:00:00,0,0,0,"20171006_151006.417/LogFile.txt","","",0
2017-10-06 15:15:48.060 +0530,"Running",0:00:00,0,0,0,"20171006_151548.060/LogFile.txt","","",0
2017-10-06 15:21:09.428 +0530,"Running",0:00:00,0,0,0,"20171006_152109.428/LogFile.txt","","",0
2017-10-06 15:27:58.032 +0530,"Running",0:00:00,0,0,0,"20171006_152758.032/LogFile.txt","","",0
2017-10-06 15:28:27.605 +0530,"Running",0:00:00,0,0,0,"20171006_152827.605/LogFile.txt","","",0
2017-10-06 15:29:07.360 +0530,"Running",0:00:00,0,0,0,"20171006_152907.360/LogFile.txt","","",0
2017-10-06 15:30:45.247 +0530,"Success",0:01:46,0,0,0,"20171006_153045.247/LogFile.txt","","",1
2017-10-06 15:36:11.689 +0530,"Success",0:00:17,0,0,0,"20171006_153611.689/LogFile.txt","","",1
2017-10-06 15:36:49.572 +0530,"Success",0:00:15,0,0,0,"20171006_153649.572/LogFile.txt","","",1
2017-10-06 15:42:05.643 +0530,"Running",0:00:00,0,0,0,"20171006_154205.643/LogFile.txt","","",0
2017-10-06 15:42:54.200 +0530,"Success",0:00:15,0,0,0,"20171006_154254.200/LogFile.txt","","",1
2017-10-06 15:45:15.417 +0530,"Success",0:00:33,0,0,0,"20171006_154515.417/LogFile.txt","","",1
2017-10-06 15:46:03.807 +0530,"Success",0:00:39,0,0,0,"20171006_154603.807/LogFile.txt","","",1
2017-10-06 15:46:52.230 +0530,"Success",0:00:39,0,0,0,"20171006_154652.230/LogFile.txt","","",1
2017-10-06 15:48:46.003 +0530,"Success",0:00:15,0,0,0,"20171006_154846.003/LogFile.txt","","",1
